Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
1000,0,0,0,-383,0,-1164,,,,-1848,-16056,-5611.92,-25984,52046.92,-51.04692,0
2000,0,0,0,-383,0,-1164,,,,-1848,-16056,-5611.92,-25984,53046.92,-25.52346,0
3000,0,48.6,0,-383,0,-1164,,,,-1848,-15756,-5611.92,-25984,53698.32,-16.89944,0.3486
4000,25.5,64.8,0,-383,-260,-1164,,,,-1848,-15256,-5611.92,-25984,54416.62,-12.604155,0.2817
5000,76.5,81,0,-383,-520,-1164,,0,0,-1848,-14756,-5611.92,-25984,55109.42,-10.021884,0.3072
6000,127.5,97.2,0,-383,-780,-1164,,,,-1848,-14256,-5611.92,-25984,55802.22,-8.30037,0.3072
7000,178.5,113.4,0,-383,-1040,-1164,,,,-1848,-13756,-5611.92,-25984,56495.02,-7.070717143,0.3072
8000,229.5,129.6,0,-383,-1300,-1164,,,,-1848,-13256,-5611.92,-25984,57187.82,-6.1484775,0.3072
9000,280.5,145.8,0,-383,-1560,-1164,,,,-1848,-12756,-5611.92,-25984,57880.62,-5.43118,0.3072
10000,331.5,162,0,-383,-1820,-1164,,0,0,-1848,-12256,-5611.92,-25984,58573.42,-4.857342,0.3072
11000,382.5,178.2,0,-383,-2080,-1164,,,,-1848,-11756,-5611.92,-25984,59266.22,-4.387838182,0.3072
12000,433.5,194.4,0,-383,-2335,-1164,0,,,-1848,-11256,-5611.92,-25984,59954.02,-3.996168333,0.3122
13000,484.5,210.6,0,-383,-2335,-1164,0,,,-1848,-10756,-5611.92,-25984,60386.82,-3.64514,0.5672
14000,535.5,226.8,0,-383,-2335,-1164,0,,,-1848,-10256,-5611.92,-25984,60819.62,-3.344258571,0.5672
15000,586.5,243,0,-383,-2335,-1164,0,0,0,-1848,-9756,-5611.92,-25984,61252.42,-3.083494667,0.5672
16000,637.5,259.2,0,-383,-2335,-1164,0,,,-1848,-9256,-5611.92,-25984,61685.22,-2.85532625,0.5672
17000,688.5,275.4,0,-383,-2335,-1164,0,,,-1848,-8756,-5611.92,-25984,62118.02,-2.654001176,0.5672
18000,739.5,291.6,0,-383,-2218,-1164,0,,,-1848,-8256,-5611.92,-25984,62433.82,-2.468545556,0.6842
19000,790.5,307.8,0,-383,-2098,-1164,0,,,-1848,-7756,-5611.92,-25984,62746.62,-2.302453684,0.6872
