Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
1000,0,0,0,-269,0,-717,,,,-924,-14292,-1402.92,-6496,25100.92,-24.10092,0
2000,0,0,0,-269,0,-717,,,,-924,-14292,-1402.92,-6496,26100.92,-12.05046,0
3000,0,48.6,0,-269,0,-717,,,,-924,-13992,-1402.92,-6496,26752.32,-7.91744,0.3486
4000,25.5,64.8,0,-269,-260,-717,,,,-924,-13492,-1402.92,-6496,27470.62,-5.867655,0.2817
5000,76.5,81,0,-269,-520,-717,,0,0,-924,-12992,-1402.92,-6496,28163.42,-4.632684,0.3072
6000,127.5,97.2,0,-269,-780,-717,,,,-924,-12492,-1402.92,-6496,28856.22,-3.80937,0.3072
7000,178.5,113.4,0,-269,-1040,-717,,,,-924,-11992,-1402.92,-6496,29549.02,-3.221288571,0.3072
8000,229.5,129.6,0,-269,-1300,-717,,,,-924,-11492,-1402.92,-6496,30241.82,-2.7802275,0.3072
9000,280.5,145.8,0,-269,-1560,-717,,,,-924,-10992,-1402.92,-6496,30934.62,-2.43718,0.3072
10000,331.5,162,0,-269,-1820,-717,,0,0,-924,-10492,-1402.92,-6496,31627.42,-2.162742,0.3072
11000,382.5,178.2,0,-269,-2080,-717,,,,-924,-9992,-1402.92,-6496,32320.22,-1.938201818,0.3072
12000,433.5,194.4,0,-269,-2335,-717,0,,,-924,-9492,-1402.92,-6496,33008.02,-1.750668333,0.3122
13000,484.5,210.6,0,-269,-2335,-717,0,,,-924,-8992,-1402.92,-6496,33440.82,-1.572370769,0.5672
14000,535.5,226.8,0,-269,-2335,-717,0,,,-924,-8492,-1402.92,-6496,33873.62,-1.419544286,0.5672
15000,586.5,243,0,-269,-2335,-717,0,0,0,-924,-7992,-1402.92,-6496,34306.42,-1.287094667,0.5672
16000,637.5,259.2,0,-269,-2335,-717,0,,,-924,-7492,-1402.92,-6496,34739.22,-1.17120125,0.5672
17000,688.5,275.4,0,-269,-2335,-717,0,,,-924,-6992,-1402.92,-6496,35172.02,-1.068942353,0.5672
18000,739.5,291.6,0,-269,-2218,-717,0,,,-924,-6492,-1402.92,-6496,35487.82,-0.971545556,0.6842
19000,790.5,307.8,0,-269,-2098,-717,0,,,-924,-5992,-1402.92,-6496,35800.62,-0.884243158,0.6872
20000,841.5,324,0,-269,-1978,-717,0,0,0,-924,-5492,-1402.92,-6496,36113.42,-0.805671,0.6872
21000,892.5,340.2,0,-269,-1858,-717,0,,60,-924,-4992,-1402.92,-6496,36366.22,-0.731724762,0.7472
22000,943.5,356.4,0,-269,-1738,-717,0,,120,-924,-4492,-1356.2,-6496,36572.3,-0.662377273,0.79392
23000,994.5,372.6,0,-269,-1618,-717,0,,180,-924,-3992,-1276.2,-6496,36745.1,-0.597613043,0.8272
24000,1045.5,388.8,0,-269,-1498,-717,0,,240,-924,-3492,-1196.2,-6496,36917.9,-0.538245833,0.8272
25000,1096.5,405,0,-269,-1378,-717,0,0,300,-924,-2992,-1116.2,-6496,37090.7,-0.483628,0.8272
26000,1147.5,421.2,0,-269,-1258,-717,0,,300,-924,-2492,-1036.2,-6496,37323.5,-0.435519231,0.7672
27000,1198.5,437.4,0.615,-269,-1138,-717,0,,300,-924,-1992,-956.2,-6496,37555.685,-0.390951296,0.767815
28000,1249.5,453.6,140.535,-269,-1018,-717,0,,300,-924,-1492,-876.2,-6496,37648.565,-0.344591607,0.90712
29000,1300.5,469.8,280.455,-269,-898,-717,0,,300,-924,-992,-796.2,-6496,37741.445,-0.301429138,0.90712
30000,1351.5,486,420.375,-269,-778,-717,0,0,300,-907.24,-492,-716.2,-6496,37817.565,-0.2605855,0.92388
31000,1402.5,502.2,560.295,-269,-658,-717,0,,300,-867.24,,-636.2,-6457.5,37839.945,-0.220643387,0.97762
32000,1453.5,518.4,700.215,-269,-538,-717,0,,300,-827.24,,-556.2,-6387.5,38322.825,-0.197588281,0.51712
33000,1504.5,534.6,840.135,-269,-418,-717,0,,300,-787.24,,-476.2,-6317.5,38805.705,-0.175930455,0.51712
34000,1555.5,550.8,980.055,-269,-298,-717,0,,300,-747.24,,-396.2,-6247.5,39288.585,-0.155546618,0.51712
35000,1606.5,567,1119.975,-269,-178,-717,0,,300,-707.24,,-316.2,-6177.5,39771.465,-0.136327571,0.51712
36000,1657.5,583.2,1259.895,-269,-58,-717,0,,300,-667.24,,-236.2,-6107.5,40254.345,-0.11817625,0.51712
37000,1708.5,599.4,1399.815,-269,62,-715.8,0,,360,-627.24,,-156.2,-6037.5,40676.025,-0.099352027,0.57832
38000,1759.5,615.6,1539.735,-269,0,-665.8,0,,420,-587.24,,-76.2,-5967.5,41230.905,-0.085023816,0.44512
39000,1810.5,631.8,1679.655,-269,,-615.8,8.03035,,450,-547.24,,,-5897.5,41749.55465,-0.070501401,0.48135035
40000,1861.5,648,1819.575,-269,,-565.8,55.13675,0,450,-507.24,,,-5827.5,42335.32825,-0.058383206,0.4142264
41000,1912.5,664.2,1959.495,-269,,-515.8,102.24315,,450,-467.24,,,-5757.5,42921.10185,-0.046856143,0.4142264
42000,1963.5,680.4,2099.415,-269,,-465.8,149.34955,,450,-427.24,,,-5687.5,43506.87545,-0.035877987,0.4142264
43000,2014.5,696.6,2239.335,-269,,-415.8,196.45595,,450,-387.24,,,-5617.5,44092.64905,-0.025410443,0.4142264
44000,2065.5,712.8,2379.255,-269,,-365.8,247.41335,,450,-347.24,,,-5547.5,44674.57165,-0.015331174,0.4180774
45000,2116.5,729,2519.175,-269,,-315.8,335.51975,,450,-307.24,,,-5477.5,45219.34525,-0.004874339,0.4552264
46000,2167.5,745.2,2659.095,-269,,-265.8,423.62615,,450,-267.24,,,-5407.5,45764.11885,0.005127851,0.4552264
47000,2218.5,761.4,2799.015,-269,,-215.8,511.73255,,450,-227.24,,,-5337.5,46308.89245,0.014704416,0.4552264
48000,2269.5,777.6,2959.785,-269,,-165.8,599.83895,,450,-187.24,,,-5267.5,46832.81605,0.024316332,0.4760764
49000,2320.5,793.8,3154.705,-269,,-115.8,687.94535,,600,-147.24,,,-5197.5,47172.58965,0.037294089,0.6602264
