Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
1000,0,0,0,-307,0,-866,,,,-1232,-15000,-2805.96,-12992,34202.96,-33.20296,
2000,0,0,0,-307,0,-866,,,,-1232,-15000,-2805.96,-12992,35202.96,-16.60148,0
3000,0,48.6,0,-307,0,-866,,,,-1232,-14700,-2805.96,-12992,35854.36,-10.95145333,0.3486
4000,25.5,64.8,0,-307,-260,-866,,,,-1232,-14200,-2805.96,-12992,36572.66,-8.143165,0.2817
5000,76.5,81,0,-307,-520,-866,,0,0,-1232,-13700,-2805.96,-12992,37265.46,-6.453092,0.3072
6000,127.5,97.2,0,-307,-780,-866,,,,-1232,-13200,-2805.96,-12992,37958.26,-5.326376667,0.3072
7000,178.5,113.4,0,-307,-1040,-866,,,,-1232,-12700,-2805.96,-12992,38651.06,-4.52158,0.3072
8000,229.5,129.6,0,-307,-1300,-866,,,,-1232,-12200,-2805.96,-12992,39343.86,-3.9179825,0.3072
9000,280.5,145.8,0,-307,-1560,-866,,,,-1232,-11700,-2805.96,-12992,40036.66,-3.448517778,0.3072
10000,331.5,162,0,-307,-1820,-866,,0,0,-1232,-11200,-2805.96,-12992,40729.46,-3.072946,0.3072
11000,382.5,178.2,0,-307,-2080,-866,,,,-1232,-10700,-2805.96,-12992,41422.26,-2.76566,0.3072
12000,433.5,194.4,0,-307,-2335,-866,0,,,-1232,-10200,-2805.96,-12992,42110.06,-2.509171667,0.3122
13000,484.5,210.6,0,-307,-2335,-866,0,,,-1232,-9700,-2805.96,-12992,42542.86,-2.272527692,0.5672
14000,535.5,226.8,0,-307,-2335,-866,0,,,-1232,-9200,-2805.96,-12992,42975.66,-2.06969,0.5672
15000,586.5,243,0,-307,-2335,-866,0,0,0,-1232,-8700,-2805.96,-12992,43408.46,-1.893897333,0.5672
16000,637.5,259.2,0,-307,-2335,-866,0,,,-1232,-8200,-2805.96,-12992,43841.26,-1.74007875,0.5672
17000,688.5,275.4,0,-307,-2335,-866,0,,,-1232,-7700,-2805.96,-12992,44274.06,-1.604356471,0.5672
18000,739.5,291.6,0,-307,-2218,-866,0,,,-1232,-7200,-2805.96,-12992,44589.86,-1.477214444,0.6842
19000,790.5,307.8,0,-307,-2098,-866,0,,,-1232,-6700,-2805.96,-12992,44902.66,-1.363297895,0.6872
