Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate,Type,Rate of Change,OCB,CCB
1000,0,0,0,-154,0,-284,0,0,0,-308,-8796,10542,-9.542,0,Single No Kids,,,
2000,0,0,0,-154,0,-284,0,0,0,-308,-8796,11542,-4.771,0,Single No Kids,1000,,
3000,0,48.6,0,-154,0,-284,0,0,0,-308,-8496,12193.4,-3.064466667,0.3486,Single No Kids,651.4,,
4000,25.5,64.8,0,-154,-260,-284,0,0,0,-308,-7996,12911.7,-2.227925,0.2817,Single No Kids,718.3,,
5000,76.5,81,0,-154,-520,-284,0,0,0,-308,-7496,13604.5,-1.7209,0.3072,Single No Kids,692.8,,
6000,127.5,97.2,0,-154,-780,-284,0,0,0,-308,-6996,14297.3,-1.382883333,0.3072,Single No Kids,692.8,,
7000,178.5,113.4,0,-154,-1040,-284,0,0,0,-308,-6496,14990.1,-1.141442857,0.3072,Single No Kids,692.8,,
8000,229.5,129.6,0,-154,-1300,-284,0,0,0,-308,-5996,15682.9,-0.9603625,0.3072,Single No Kids,692.8,,
9000,280.5,145.8,0,-154,-1355,-284,0,0,0,-308,-5496,16170.7,-0.796744444,0.5122,Single No Kids,487.8,,
10000,331.5,162,0,-154,-1355,-299.82,0,0,0,-308,-4996,16619.32,-0.661932,0.55138,Single No Kids,448.62,,
11000,382.5,178.2,0,-154,-1355,-319.82,0,0,0,-308,-4496,17072.12,-0.552010909,0.5472,Single No Kids,452.8,,
12000,433.5,194.4,0,-154,-1355,-339.82,0,0,0,-308,-3996,17524.92,-0.46041,0.5472,Single No Kids,452.8,,
13000,484.5,210.6,0,-154,-1333.4,-359.82,0,0,0,-308,-3496,17956.12,-0.38124,0.5688,Single No Kids,431.2,,
14000,535.5,226.8,0,-154,-1213.4,-379.82,0,0,0,-308,-2996,18288.92,-0.306351429,0.6672,Single No Kids,332.8,,
15000,586.5,243,131.925,-154,-1093.4,-399.82,0,0,0,-308,-2496,18489.795,-0.232653,0.799125,Single No Kids,200.875,,
16000,637.5,259.2,271.845,-154,-973.4,-419.82,0,0,0,-308,-1996,18682.675,-0.167667188,0.80712,Single No Kids,192.88,,
17000,688.5,275.4,411.765,-154,-853.4,-439.82,0,0,0,-308,-1496,18875.555,-0.110326765,0.80712,Single No Kids,192.88,,
18000,739.5,291.6,551.685,-154,-733.4,-459.82,0,0,0,-308,-996,19068.435,-0.0593575,0.80712,Single No Kids,192.88,,
19000,790.5,307.8,691.605,-154,-613.4,-479.82,0,0,0,-308,-496,19261.315,-0.013753421,0.80712,Single No Kids,192.88,,
20000,841.5,324,831.525,-154,-493.4,-433,0,0,0,-308,0,19391.375,0.03043125,0.86994,Single No Kids,130.06,,
21000,892.5,340.2,971.445,-154,-373.4,-433,0,0,60,-308,0,20004.255,0.047416429,0.38712,Single No Kids,612.88,,
22000,943.5,356.4,1111.365,-154,-253.4,-433,0,0,120,-308,0,20617.135,0.0628575,0.38712,Single No Kids,612.88,,
23000,994.5,372.6,1251.285,-154,-133.4,-433,0,0,180,-334.6,0,21256.615,0.075799348,0.36052,Single No Kids,639.48,,
24000,1045.5,388.8,1391.205,-154,-13.4,-433,0,0,240,-321.2,0,21856.095,0.089329375,0.40052,Single No Kids,599.48,,
25000,1096.5,405,1531.125,-154,0,-433,0,0,300,-267.8,0,22522.175,0.099113,0.33392,Single No Kids,666.08,,
26000,1147.5,421.2,1671.045,-154,0,-433,0,0,300,-174.4,0,23221.655,0.106859423,0.30052,Single No Kids,699.48,,
27000,1198.5,437.4,1810.965,-154,0,-433,0,0,300,-41,0,23881.135,0.115513519,0.34052,Single No Kids,659.48,,
28000,1249.5,453.6,1950.885,-154,0,-433,0,0,300,0,0,24633.015,0.120249464,0.24812,Single No Kids,751.88,,
29000,1300.5,469.8,2090.805,-154,0,-433,0,0,300,0,0,25425.895,0.123245,0.20712,Single No Kids,792.88,,
30000,1351.5,486,2230.725,-154,0,-433,37.81525,0,300,0,0,26180.95975,0.127301342,0.24493525,Single No Kids,755.06475,,
31000,1402.5,502.2,2370.645,-154,0,-433,184.92165,0,300,0,0,26826.73335,0.134621505,0.3542264,Single No Kids,645.7736,,
32000,1453.5,518.4,2510.565,-154,0,-433,332.02805,0,300,0,0,27472.50695,0.141484158,0.3542264,Single No Kids,645.7736,,
33000,1504.5,534.6,2650.485,-154,0,-433,479.13445,0,300,0,0,28118.28055,0.147930892,0.3542264,Single No Kids,645.7736,,
34000,1555.5,550.8,2790.405,-154,0,-433,626.24085,0,300,0,0,28764.05415,0.153998407,0.3542264,Single No Kids,645.7736,,
35000,1606.5,567,2930.325,-154,0,-433,773.34725,0,300,0,0,29409.82775,0.159719207,0.3542264,Single No Kids,645.7736,,
36000,1657.5,583.2,3070.245,-154,0,-433,920.45365,0,300,0,0,30055.60135,0.165122185,0.3542264,Single No Kids,645.7736,,
37000,1708.5,599.4,3210.165,-154,0,-431.8,1067.56005,0,360,0,0,30640.17495,0.171887164,0.4154264,Single No Kids,584.5736,,
38000,1759.5,615.6,3350.085,-154,0,-381.8,1214.66645,0,420,0,0,31175.94855,0.179580301,0.4642264,Single No Kids,535.7736,,
39000,1810.5,631.8,3490.005,-154,0,-331.8,1311.77285,0,450,0,0,31791.72215,0.184827637,0.3842264,Single No Kids,615.7736,,
40000,1861.5,648,3629.925,-154,0,-281.8,1358.87925,0,450,0,0,32487.49575,0.187812606,0.3042264,Single No Kids,695.7736,,
41000,1912.5,664.2,3769.845,-154,0,-231.8,1405.98565,0,450,0,0,33183.26935,0.190651967,0.3042264,Single No Kids,695.7736,,
42000,1963.5,680.4,3909.765,-154,0,-181.8,1453.09205,0,450,0,0,33879.04295,0.19335612,0.3042264,Single No Kids,695.7736,,
43000,2014.5,696.6,4049.685,-154,0,-131.8,1500.19845,0,450,0,0,34574.81655,0.195934499,0.3042264,Single No Kids,695.7736,,
44000,2065.5,712.8,4189.605,-154,0,-81.8,1551.15585,0,450,0,0,35266.73915,0.198483201,0.3080774,Single No Kids,691.9226,,
45000,2116.5,729,4329.525,-154,0,-31.8,1639.26225,0,450,0,0,35921.51275,0.201744161,0.3452264,Single No Kids,654.7736,,
46000,2167.5,745.2,4469.445,-154,0,0,1727.36865,0,450,0,0,36594.48635,0.204467688,0.3270264,Single No Kids,672.9736,,
47000,2218.5,761.4,4609.365,-154,0,0,1815.47505,0,450,0,0,37299.25995,0.206398724,0.2952264,Single No Kids,704.7736,,
48000,2269.5,777.6,4770.135,-154,0,0,1903.58145,0,450,0,0,37983.18355,0.208683676,0.3160764,Single No Kids,683.9236,,
49000,2320.5,793.8,4965.055,-154,0,0,1991.68785,0,600,0,0,38482.95715,0.214633528,0.5002264,Single No Kids,499.7736,,
50000,2371.5,810,5159.975,-154,0,0,2079.79425,0,600,0,0,39132.73075,0.217345385,0.3502264,Single No Kids,649.7736,,
51000,2422.5,826.2,5354.895,-154,0,0,2167.90065,0,600,0,0,39782.50435,0.219950895,0.3502264,Single No Kids,649.7736,,
52000,2473.5,842.4,5549.815,-154,0,0,2256.00705,0,600,0,0,40432.27795,0.222456193,0.3502264,Single No Kids,649.7736,,
53000,2524.5,858.6,5744.735,-154,0,0,2344.11345,0,600,0,0,41082.05155,0.224866952,0.3502264,Single No Kids,649.7736,,
54000,2575.5,860.22,5941.842,-154,0,0,2432.95614,0,600,0,0,41743.48186,0.226972558,0.33856969,Single No Kids,661.43031,,
55000,2626.5,860.22,6139.192,-154,0,0,2521.88064,0,600,0,0,42406.20736,0.228978048,0.3372745,Single No Kids,662.7255,,
56000,2677.5,860.22,6336.542,-154,0,0,2610.80514,0,600,0,0,43068.93286,0.230911913,0.3372745,Single No Kids,662.7255,,
57000,2728.5,860.22,6533.892,-154,0,0,2699.72964,0,600,0,0,43731.65836,0.232777924,0.3372745,Single No Kids,662.7255,,
58000,2748.9,860.22,6735.832,-154,0,0,2790.19944,0,600,0,0,44418.84856,0.234157783,0.3128098,Single No Kids,687.1902,,
59000,2748.9,860.22,6940.832,-154,0,0,2881.69944,0,600,0,0,45122.34856,0.235214431,0.2965,Single No Kids,703.5,,
60000,2748.9,860.22,7145.832,-154,0,0,2973.19944,0,600,0,0,45825.84856,0.236235857,0.2965,Single No Kids,703.5,,
61000,2748.9,860.22,7350.832,-154,0,0,3064.69944,0,600,0,0,46529.34856,0.237223794,0.2965,Single No Kids,703.5,,
62000,2748.9,860.22,7555.832,-154,0,0,3156.19944,0,600,0,0,47232.84856,0.238179862,0.2965,Single No Kids,703.5,,
63000,2748.9,860.22,7760.832,-154,0,0,3247.69944,0,600,0,0,47936.34856,0.239105578,0.2965,Single No Kids,703.5,,
64000,2748.9,860.22,7965.832,-154,0,0,3339.19944,0,600,0,0,48639.84856,0.240002366,0.2965,Single No Kids,703.5,,
65000,2748.9,860.22,8170.832,-154,0,0,3430.69944,0,600,0,0,49343.34856,0.240871561,0.2965,Single No Kids,703.5,,
66000,2748.9,860.22,8375.832,-154,0,0,3522.19944,0,600,0,0,50046.84856,0.241714416,0.2965,Single No Kids,703.5,,
67000,2748.9,860.22,8580.832,-154,0,0,3613.69944,0,600,0,0,50750.34856,0.242532111,0.2965,Single No Kids,703.5,,
68000,2748.9,860.22,8785.832,-154,0,0,3705.19944,0,600,0,0,51453.84856,0.243325756,0.2965,Single No Kids,703.5,,
69000,2748.9,860.22,8990.832,-154,0,0,3796.69944,0,600,0,0,52157.34856,0.244096398,0.2965,Single No Kids,703.5,,
70000,2748.9,860.22,9195.832,-154,0,0,3888.19944,0,600,0,0,52860.84856,0.244845021,0.2965,Single No Kids,703.5,,
71000,2748.9,860.22,9400.832,-154,0,0,3979.69944,0,600,0,0,53564.34856,0.245572555,0.2965,Single No Kids,703.5,,
72000,2748.9,860.22,9605.832,-154,0,0,4071.19944,0,600,0,0,54267.84856,0.246279881,0.2965,Single No Kids,703.5,,
73000,2748.9,860.22,9810.832,-154,0,0,4162.69944,0,700,0,0,54871.34856,0.248337691,0.3965,Single No Kids,603.5,,
74000,2748.9,860.22,10015.832,-154,0,0,4254.19944,0,750,0,0,55524.84856,0.249664209,0.3465,Single No Kids,653.5,,
