Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate
1000,0,0,0,-154,0,-284,,,,-308,-8796,10542,-9.542,0
2000,0,0,0,-154,0,-284,,,,-308,-8796,11542,-4.771,0
3000,0,48.6,0,-154,0,-284,,,,-308,-8496,12193.4,-3.064466667,0.3486
4000,25.5,64.8,0,-154,-260,-284,,,,-308,-7996,12911.7,-2.227925,0.2817
5000,76.5,81,0,-154,-520,-284,,0,0,-308,-7496,13604.5,-1.7209,0.3072
6000,127.5,97.2,0,-154,-780,-284,,,,-308,-6996,14297.3,-1.382883333,0.3072
7000,178.5,113.4,0,-154,-1040,-284,,,,-308,-6496,14990.1,-1.141442857,0.3072
8000,229.5,129.6,0,-154,-1300,-284,,,,-308,-5996,15682.9,-0.9603625,0.3072
9000,280.5,145.8,0,-154,-1355,-284,,,,-308,-5496,16170.7,-0.796744444,0.5122
10000,331.5,162,0,-154,-1355,-299.82,,0,0,-308,-4996,16619.32,-0.661932,0.55138
11000,382.5,178.2,0,-154,-1355,-319.82,,,,-308,-4496,17072.12,-0.552010909,0.5472
12000,433.5,194.4,0,-154,-1355,-339.82,0,,,-308,-3996,17524.92,-0.46041,0.5472
13000,484.5,210.6,0,-154,-1333.4,-359.82,0,,,-308,-3496,17956.12,-0.38124,0.5688
14000,535.5,226.8,0,-154,-1213.4,-379.82,0,,,-308,-2996,18288.92,-0.306351429,0.6672
15000,586.5,243,131.925,-154,-1093.4,-399.82,0,0,0,-308,-2496,18489.795,-0.232653,0.799125
16000,637.5,259.2,271.845,-154,-973.4,-419.82,0,,,-308,-1996,18682.675,-0.167667188,0.80712
17000,688.5,275.4,411.765,-154,-853.4,-439.82,0,,,-308,-1496,18875.555,-0.110326765,0.80712
18000,739.5,291.6,551.685,-154,-733.4,-459.82,0,,,-308,-996,19068.435,-0.0593575,0.80712
19000,790.5,307.8,691.605,-154,-613.4,-479.82,0,,,-308,-496,19261.315,-0.013753421,0.80712
20000,841.5,324,831.525,-154,-493.4,-433,0,0,0,-308,,19391.375,0.03043125,0.86994
21000,892.5,340.2,971.445,-154,-373.4,-433,0,,60,-308,,20004.255,0.047416429,0.38712
22000,943.5,356.4,1111.365,-154,-253.4,-433,0,,120,-308,,20617.135,0.0628575,0.38712
23000,994.5,372.6,1251.285,-154,-133.4,-433,0,,180,-334.6,,21256.615,0.075799348,0.36052
24000,1045.5,388.8,1391.205,-154,-13.4,-433,0,,240,-321.2,,21856.095,0.089329375,0.40052
25000,1096.5,405,1531.125,-154,0,-433,0,0,300,-267.8,,22522.175,0.099113,0.33392
26000,1147.5,421.2,1671.045,-154,,-433,0,,300,-174.4,,23221.655,0.106859423,0.30052
27000,1198.5,437.4,1810.965,-154,,-433,0,,300,-41,,23881.135,0.115513519,0.34052
28000,1249.5,453.6,1950.885,-154,,-433,0,,300,0,,24633.015,0.120249464,0.24812
29000,1300.5,469.8,2090.805,-154,,-433,0,,300,0,,25425.895,0.123245,0.20712
30000,1351.5,486,2230.725,-154,,-433,37.81525,0,300,,,26180.95975,0.127301342,0.24493525
31000,1402.5,502.2,2370.645,-154,,-433,184.92165,,300,,,26826.73335,0.134621505,0.3542264
32000,1453.5,518.4,2510.565,-154,,-433,332.02805,,300,,,27472.50695,0.141484158,0.3542264
33000,1504.5,534.6,2650.485,-154,,-433,479.13445,,300,,,28118.28055,0.147930892,0.3542264
34000,1555.5,550.8,2790.405,-154,,-433,626.24085,,300,,,28764.05415,0.153998407,0.3542264
35000,1606.5,567,2930.325,-154,,-433,773.34725,,300,,,29409.82775,0.159719207,0.3542264
36000,1657.5,583.2,3070.245,-154,,-433,920.45365,,300,,,30055.60135,0.165122185,0.3542264
